BANC,MCNS,FAFB
720575941546634428,10799,720575940625525740
720575941645236600,10082,720575940632427603
720575941604300790,10046,720575940626044942
720575941474101344,10400,720575940613455986
720575941611510758,95664,720575940632059532
720575941588177732,61238,720575940623758377
720575941442310863,58994,720575940631456015
720575941392176534,78249,720575940621933421
720575941466080022,51117,720575940605834161
720575941562730664,53577,720575940619166774
720575941579146741,82807,720575940628284179
720575941538631373,53081,720575940631411983
720575941542180444,65191,720575940641661173
720575941560827693,32388,720575940609779524
720575941552381850,57642,720575940626521820
720575941439374783,93665,720575940617842873
720575941532993509,47142,720575940626754352
720575941597278144,123630,720575940630406204
720575941569851130,56821,720575940614525182
720575941507332375,57612,720575940625563429
720575941431811320,124795,720575940606673510
720575941559983987,34824,720575940625581605
720575941515554809,54710,720575940619509894
720575941548557629,83986,720575940618571777
720575941518273708,163645,720575940617744182
720575941496465095,54816,720575940632704339
720575941522823159,42667,720575940632742471
720575941551537919,73702,720575940628206664
720575941516007939,94905,720575940661245825
720575941604242873,122819,720575940624410918
720575941535671218,134694,720575940632759144
720575941451268777,56239,720575940633892435
720575941534573578,55677,720575940617370073
720575941498640097,31198,720575940623091299
720575941576034447,36894,720575940638138846
720575941634230459,26581,720575940621508649
720575941353152304,58865,720575940630235383
720575941462045072,34274,720575940625079027
720575941555043585,34706,720575940621612897
720575941651668497,106078,720575940625034679
720575941571003550,99059,720575940624838217
720575941517881966,80720,720575940626394468
720575941612120806,96726,720575940623545491
720575941653585113,99655,720575940628520710
720575941581228409,110708,720575940625609452
720575941506753445,124367,720575940613143002
720575941574081289,106480,720575940625639916
720575941466435670,116639,720575940617210171
720575941565659446,123838,720575940616210738
720575941558956270,65603,720575940647056163
720575941668183283,97030,720575940621694702
720575941554469092,81212,720575940622325386
720575941474481248,554757,720575940629445991
720575941523350263,119694,720575940619609408
720575941517035667,62416,720575940617127307
720575941626645049,39687,720575940613692950
720575941568437362,104123,720575940636835695
720575941614967193,119933,720575940630715518
720575941449461838,103677,720575940612153622
720575941528635576,57380,720575940606700674
720575941452977065,50089,720575940633662628
720575941598660764,29468,720575940626068755
720575941479718307,54200,720575940628207370
720575941565472098,34916,720575940630625918
720575941508919842,47503,720575940624029704
720575941409049262,68611,720575940623076120
720575941448423188,41484,720575940636793207
720575941546706793,111663,720575940615756866
720575941411670699,103925,720575940631420268
720575941505512471,60379,720575940628125948
720575941521268471,111480,720575940620113969
720575941436315948,46507,720575940645243427
720575941457366768,84883,720575940609390684
720575941459397791,52625,720575940613169637
720575941547794868,110900,720575940646428980
720575941598011548,117552,720575940608810798
720575941576716633,82867,720575940625306160
720575941542253404,123189,720575940634769562
720575941509165840,33080,720575940634794391
720575941571071646,130589,720575940638609571
720575941430806665,65855,720575940636487054
720575941564793191,30416,720575940631440697
720575941591715112,126838,720575940639406963
720575941502900786,100050,720575940628039250
720575941620281727,99208,720575940629105155
720575941650895345,31258,720575940626571909
720575941526505730,58982,720575940618716701
720575941546200252,60615,720575940643223319
720575941691394968,65214,720575940605985708
720575941481664195,64427,720575940622821590
720575941558642447,108292,720575940623006758
720575941731160107,49495,720575940631837199
720575941573779016,49065,720575940636982446
720575941433371406,58536,720575940617545821
720575941535265290,41958,720575940631408758
720575941515636729,115619,720575940632007887
720575941485781826,50965,720575940617766374
720575941604071609,37989,720575940613094323
720575941566924334,128635,720575940608781269
720575941508005445,112369,720575940626734384
720575941643313765,130803,720575940632176012
720575941528494008,45705,720575940620318958
720575941669547185,151788,720575940630951895
720575941594924581,55259,720575940628156041
720575941535090202,56858,720575940622379582
720575941469982475,31741,720575940633558189
720575941555170049,66481,720575940625308396
720575941455175475,101903,720575940614697127
720575941626865465,101589,720575940612569457
720575941573039368,88898,720575940625889317
720575941454608179,134052,720575940639688320
720575941503341762,94903,720575940627474309
720575941604334326,103040,720575940616054175
720575941478314602,33394,720575940626940453
720575941437138988,95846,720575940620543297
720575941514175747,108185,720575940615758709
720575941531705547,88985,720575940620152149
720575941451914153,56636,720575940620691476
720575941392353430,94962,720575940646237550
720575941545972916,541783,720575940632737347
720575941458679536,59435,720575940629979447
720575941557092004,123522,720575940632455722
720575941453690419,109250,720575940622480408
720575941442311631,113407,720575940629741694
720575941448915534,164002,720575940624819785
720575941404430448,101083,720575940624229970
720575941515493379,137604,720575940638989658
720575941450640762,137563,720575940627425034
720575941662133628,127215,720575940632264040
720575941590936204,68512,720575940639216499
720575941613033491,143914,720575940615819388
720575941537309667,135939,720575940626560152
720575941436344108,134164,720575940607142274
720575941430830328,130436,720575940636601742
720575941436498220,54480,720575940625022707
720575941626300315,88716,720575940614761647
720575941466463318,59204,720575940622804830
720575941662140796,53238,720575940636304218
720575941438821420,30950,720575940636712055
720575941655255508,116230,720575940620830635
720575941592372587,123672,720575940632959583
720575941500196002,99582,720575940605354668
720575941391519894,89139,720575940624126413
